search_user_character,Bowser,Ice Climbers,Peach,Sheik,Zelda,Captain Falcon,Donkey Kong,Fox,Kirby,Link,Mario,Ness,Pikachu,Samus,Yoshi,Dr. Mario,Falco,Ganondorf,Jigglypuff,Luigi,Marth,Mewtwo,Mr. Game & Watch,Pichu,Roy,Young Link,Random
Dr. Mario,0.384615384615,0.423841059603,0.303370786517,0.461453744493,0.445945945946,0.492159227986,0.515151515152,0.534684333593,0.522727272727,0.617647058824,0.568421052632,0.474576271186,0.556701030928,0.449541284404,0.441176470588,0.536170212766,0.502659574468,0.405144694534,0.534482758621,0.479865771812,0.496266513498,0.5625,0.52380952381,0.866666666667,0.5,0.661290322581,0.5
Falco,0.514084507042,0.377828054299,0.406400453129,0.502197183099,0.460526315789,0.530295744169,0.545454545455,0.503254251522,0.537267080745,0.489167616876,0.564406779661,0.408921933086,0.605263157895,0.402777777778,0.568047337278,0.533711405167,0.498017671047,0.489954176947,0.423441734417,0.491479820628,0.523729820204,0.482993197279,0.605769230769,0.689655172414,0.523396880416,0.693832599119,0.538265306122
Ganondorf,0.472222222222,0.475,0.405263157895,0.466338259442,0.52380952381,0.507775524003,0.505747126437,0.520186335404,0.676056338028,0.606666666667,0.518987341772,0.405172413793,0.522292993631,0.541125541126,0.494949494949,0.640816326531,0.527384838593,0.496052631579,0.481566820276,0.580168776371,0.524187153053,0.8125,0.542372881356,0.756756756757,0.45871559633,0.644444444444,0.59649122807
Jigglypuff,0.442307692308,0.435164835165,0.426906779661,0.551057130004,0.489051094891,0.557768924303,0.441860465116,0.541109969168,0.621052631579,0.600858369099,0.582608695652,0.434426229508,0.534482758621,0.438848920863,0.541666666667,0.550669216061,0.598466593647,0.527461139896,0.470967741935,0.511627906977,0.552907739397,0.619047619048,0.540983606557,0.777777777778,0.630952380952,0.666666666667,0.601398601399
Luigi,0.53125,0.473282442748,0.410810810811,0.514033680834,0.451219512195,0.498876404494,0.59649122807,0.507655502392,0.641025641026,0.492537313433,0.619469026549,0.379310344828,0.522058823529,0.456422018349,0.553846153846,0.569395017794,0.531457600625,0.493827160494,0.539267015707,0.509960159363,0.48001598721,0.740740740741,0.462686567164,0.709677419355,0.468468468468,0.636363636364,0.674418604651
Marth,0.450980392157,0.457055214724,0.433652121937,0.430980637102,0.465804066543,0.514548056284,0.478149100257,0.466221668011,0.513245033113,0.513586956522,0.603839441536,0.419678714859,0.555052790347,0.417441345728,0.532818532819,0.520655737705,0.478594109274,0.442256720939,0.451812977099,0.508670520231,0.485579752796,0.594117647059,0.544468546638,0.72131147541,0.505263157895,0.6573875803,0.501298701299
Mewtwo,0.5,0.125,0.387096774194,0.488095238095,0.5,0.364583333333,0.0,0.426573426573,0.545454545455,0.615384615385,1.0,0.615384615385,0.4,0.375,0.444444444444,0.3,0.446540880503,0.387096774194,0.270833333333,0.454545454545,0.422413793103,0.625,0.0,0.833333333333,0.714285714286,0.285714285714,0.555555555556
Mr. Game & Watch,0.5,0.396825396825,0.294964028777,0.526813880126,0.761904761905,0.497435897436,0.384615384615,0.412667946257,0.5625,0.478260869565,0.4,0.340909090909,0.511627906977,0.386138613861,0.666666666667,0.413793103448,0.412087912088,0.453846153846,0.462585034014,0.460784313725,0.493206521739,0.615384615385,0.5375,0.6,0.620689655172,0.6,0.666666666667
Pichu,0.4,0.0869565217391,0.09375,0.352941176471,0.384615384615,0.31067961165,0.5,0.258741258741,0.285714285714,0.5,0.333333333333,0.642857142857,0.333333333333,0.212121212121,0.4,0.346153846154,0.312195121951,0.275862068966,0.349206349206,0.279069767442,0.350515463918,0.571428571429,0.333333333333,0.545454545455,0.5,0.466666666667,0.65
Roy,0.727272727273,0.625,0.336956521739,0.515837104072,0.333333333333,0.465408805031,0.304347826087,0.50332594235,0.5,0.339622641509,0.6,0.323529411765,0.590909090909,0.305555555556,0.516129032258,0.474358974359,0.484939759036,0.459016393443,0.39880952381,0.530612244898,0.496466431095,0.285714285714,0.486486486486,0.666666666667,0.485714285714,0.576923076923,0.45
Young Link,0.4,0.25,0.282208588957,0.30303030303,0.423076923077,0.411764705882,0.533333333333,0.322660098522,0.444444444444,0.431034482759,0.470588235294,0.452380952381,0.439024390244,0.372881355932,0.463414634146,0.4125,0.363636363636,0.336448598131,0.339768339768,0.314606741573,0.365814696486,0.285714285714,0.393939393939,0.739130434783,0.404761904762,0.5625,0.323529411765
Random,0.263157894737,0.396226415094,0.28,0.378548895899,0.681818181818,0.435714285714,0.5,0.456692913386,0.666666666667,0.5,0.444444444444,0.666666666667,0.56,0.504587155963,0.535714285714,0.5,0.491166077739,0.411764705882,0.411428571429,0.377192982456,0.427184466019,0.416666666667,0.407407407407,0.363636363636,0.307692307692,0.666666666667,0.515657620042
